open,high,low,close,volume,date,headline_count,pct_change,rolling_avg_close,volatility,anomaly_flag
253.26,253.44,246.55,250.2,4937960.0,2026-03-10,0.0,,,,False
250.005,253.715,247.2,248.87,4012239.0,2026-03-11,0.0,-0.5315747402078297,,,False
247.1,250.045,245.64,247.68,5547724.0,2026-03-12,0.0,-0.478161289026402,,,False
247.67,249.72,244.71,246.28,4338431.0,2026-03-13,0.0,-0.5652454780361804,,,False
247.87,252.2,246.1,249.25,5674228.0,2026-03-16,0.0,1.2059444534676,248.456,1.5149686465402437,False
250.51,256.39,250.0,256.11,5840139.0,2026-03-17,0.0,2.7522567703109457,249.638,3.799245977822455,False
254.16,258.28,250.16,251.6,5177047.0,2026-03-18,0.0,-1.7609620866034237,250.18400000000003,3.857010500374625,False
249.43,252.19,248.25,250.37,4249458.0,2026-03-19,0.0,-0.4888712241653326,250.72199999999998,3.599426343183053,False
249.0,250.28,241.77,241.77,11314093.0,2026-03-20,0.0,-3.4349163238407088,249.82,5.20005769198767,False
246.5,251.35,244.7101,248.44,4972008.0,2026-03-23,0.0,2.7588203664639988,249.658,5.2347559637484675,False
246.445,247.11,238.0,240.59,4151491.0,2026-03-24,0.0,-3.1597166317823167,246.554,5.0506662926786365,False
243.6,246.19,238.0,241.39,4207946.0,2026-03-25,0.0,0.3325158984163856,244.512,4.538526192499085,False
240.56,246.6742,239.8,241.67,3606840.0,2026-03-26,0.0,0.11599486308464524,242.772,3.2021742613418573,False
238.85,239.44,233.75,236.34,4853707.0,2026-03-27,0.0,-2.2054868208714273,241.686,4.344114409174828,False
237.8,240.21,236.131,237.25,3882602.0,2026-03-30,0.0,0.38503850385038785,239.448,2.4750595952422234,False
240.27,242.85,236.38,242.39,4750293.0,2026-03-31,0.0,2.166491043203367,239.808,2.793155921175997,False
242.12,246.2618,240.14,243.14,4228653.0,2026-04-01,0.0,0.30941870539213934,240.158,3.1302507886749984,False
243.0,248.2103,241.485,248.16,3350858.0,2026-04-02,0.0,2.0646541087439463,241.456,4.809254620000922,False
248.14,248.8999,244.74,246.74,3376019.0,2026-04-06,0.0,-0.5722114764667885,243.536,4.2611888012619,False
245.32,245.76,241.1,245.07,2356072.0,2026-04-07,0.0,-0.6768258085434131,245.1,2.410383786868701,False
248.63,250.0,240.8,241.74,4771476.0,2026-04-08,0.0,-1.3587954461990348,244.96999999999997,2.6029214356179655,False
240.88,241.74,233.76,237.18,5078595.0,2026-04-09,0.0,-1.8863241499131322,243.77800000000002,4.39692165042769,False
239.19,239.2674,230.51,230.76,5869361.0,2026-04-10,0.0,-2.7068049582595566,240.298,6.462315374538807,False
233.63,238.07,231.7,237.82,5349619.0,2026-04-13,0.0,3.059455711561787,238.51399999999998,5.379914497461926,False
238.75,241.5375,238.12,240.27,3777272.0,2026-04-14,0.0,1.0301909006811938,237.554,4.221028310732029,False
242.25,246.06,240.985,244.8,3879518.0,2026-04-15,0.0,1.8853789486827255,238.166,5.108265850560363,False
248.75,251.22,246.125,251.0,4817500.0,2026-04-16,0.0,2.5326797385620825,240.92999999999998,7.581530188556963,False
254.67,255.65,251.04,253.47,5671471.0,2026-04-17,0.0,0.9840637450199141,245.47199999999998,6.7192313548500096,False
255.0,258.5,252.56,253.71,5157714.0,2026-04-20,0.0,0.09468576162858788,248.65,5.903503197254897,False
254.0,258.09,251.865,255.68,5584901.0,2026-04-21,0.0,0.7764770801308662,251.73200000000003,4.2162862806026515,False
254.51,257.54,247.21,251.86,12190197.0,2026-04-22,0.0,-1.494055068836042,253.144,1.809925412827251,False
232.27,232.91,221.73,231.08,22297831.0,2026-04-23,0.0,-8.250615421265783,249.16,10.197614917224433,False
231.93,232.7999,225.0,231.98,9816859.0,2026-04-24,0.0,0.38947550631813765,244.862,12.249262018587036,False
229.95,231.32,227.12,228.05,8060665.0,2026-04-27,0.0,-1.6941115613414826,239.73000000000002,12.969645330540054,False
230.5,233.555,228.46,233.04,5162895.0,2026-04-28,0.0,2.1881166410874675,235.202,9.495873840779476,False
230.34,231.48,226.82,227.1,6443724.0,2026-04-29,0.0,-2.548918640576725,230.25,2.5606835025048613,False
226.53,231.6,224.9,230.98,6283334.0,2026-04-30,0.0,1.7084984588287,230.23000000000002,2.5529590674353866,False
234.55,235.95,231.75,232.2,3582091.0,2026-05-01,0.0,0.5281842583773511,230.27399999999997,2.592253845594706,False
232.0,234.09,228.615,229.48,4003082.0,2026-05-04,0.0,-1.1714039621016359,230.56,2.353423038894734,False
230.16,231.0,227.15,229.03,4221889.0,2026-05-05,0.0,-0.19609552030677158,229.75799999999998,1.9447930481160873,False
228.75,229.0,224.38,225.74,7673185.0,2026-05-06,0.0,-1.4364930358468309,229.48599999999996,2.441225102279725,False
227.5,231.82,227.41,231.31,5485545.0,2026-05-07,0.0,2.467440418180211,229.552,2.495570075153301,False
229.73,230.705,224.83,229.76,5332800.0,2026-05-08,0.0,-0.6700964074186189,229.064,2.0464676884819686,False
228.66,230.23,222.55,223.55,6677186.0,2026-05-11,0.0,-2.702820334261835,227.878,3.16031169348861,False
224.43,224.43,219.22,219.22,6045225.0,2026-05-12,0.0,-1.936926861999555,225.916,4.856359747794751,False
218.27,218.31,212.34,214.64,8361214.0,2026-05-13,0.0,-2.0892254356354445,223.696,7.01448715160285,False
215.545,220.96,215.0,218.37,5906199.0,2026-05-14,0.0,1.7377935147223411,221.108,5.781796433635641,False
218.2,220.91,217.615,219.3,6154450.0,2026-05-15,0.0,0.4258826761917911,219.01600000000002,3.1719914880091005,False
218.55,223.33,217.75,222.75,5946367.0,2026-05-18,0.0,1.5731874145006763,218.856,2.894119900764684,False
224.5,227.35,221.92,222.33,5937754.0,2026-05-19,0.0,-0.18855218855218236,219.47799999999998,3.297934201890946,False
221.05,225.0,216.78,225.0,4858990.0,2026-05-20,0.0,1.2009175549858364,221.55,2.6984162021455385,False
